locus_tag	ftype	length_bp	gene	EC_number	COG	product
KLAOMLMB_00001	CDS	198				hypothetical protein
KLAOMLMB_00002	CDS	441	virB9			Type IV secretion system protein virB9
KLAOMLMB_00003	CDS	318	virB8			Type IV secretion system protein virB8
KLAOMLMB_00004	CDS	489				hypothetical protein
KLAOMLMB_00005	CDS	564				hypothetical protein
KLAOMLMB_00006	CDS	429				hypothetical protein
KLAOMLMB_00007	CDS	348				hypothetical protein
KLAOMLMB_00008	CDS	1173				hypothetical protein
KLAOMLMB_00009	CDS	264				hypothetical protein
KLAOMLMB_00010	CDS	1668				hypothetical protein
KLAOMLMB_00011	CDS	351				hypothetical protein
KLAOMLMB_00012	CDS	282				hypothetical protein
KLAOMLMB_00013	CDS	195				hypothetical protein
KLAOMLMB_00014	CDS	393				hypothetical protein
KLAOMLMB_00015	CDS	330				hypothetical protein
KLAOMLMB_00016	CDS	147				hypothetical protein
KLAOMLMB_00017	CDS	1464	ftsH3	3.4.24.-		ATP-dependent zinc metalloprotease FtsH 3
KLAOMLMB_00018	CDS	933				hypothetical protein
KLAOMLMB_00019	CDS	264				hypothetical protein
KLAOMLMB_00020	CDS	498				hypothetical protein
KLAOMLMB_00021	CDS	489				hypothetical protein
KLAOMLMB_00022	CDS	336				hypothetical protein
KLAOMLMB_00023	CDS	471				hypothetical protein
KLAOMLMB_00024	CDS	372				hypothetical protein
KLAOMLMB_00025	CDS	195				hypothetical protein
KLAOMLMB_00026	CDS	549				hypothetical protein
KLAOMLMB_00027	CDS	351	higB2		COG4683	Putative toxin HigB2
KLAOMLMB_00028	CDS	303	higA1		COG1396	Antitoxin HigA1
KLAOMLMB_00029	CDS	294				hypothetical protein
KLAOMLMB_00030	CDS	273	hupB		COG0776	DNA-binding protein HU-beta
KLAOMLMB_00031	CDS	528	yncB	3.1.-.-	COG1525	Endonuclease YncB
KLAOMLMB_00032	CDS	189				hypothetical protein
KLAOMLMB_00033	CDS	858				hypothetical protein
KLAOMLMB_00034	CDS	228				hypothetical protein
KLAOMLMB_00035	CDS	519				hypothetical protein
KLAOMLMB_00036	CDS	447				hypothetical protein
KLAOMLMB_00037	CDS	360				hypothetical protein
KLAOMLMB_00038	CDS	429				hypothetical protein
KLAOMLMB_00039	CDS	861	bdbD		COG1651	Disulfide bond formation protein D
KLAOMLMB_00040	CDS	960	sppA	3.4.21.-	COG0616	Putative signal peptide peptidase SppA
KLAOMLMB_00041	CDS	855				hypothetical protein
KLAOMLMB_00042	CDS	315				hypothetical protein
KLAOMLMB_00043	CDS	474				hypothetical protein
KLAOMLMB_00044	CDS	522				hypothetical protein
KLAOMLMB_00045	CDS	522				hypothetical protein
KLAOMLMB_00046	CDS	609				hypothetical protein
KLAOMLMB_00047	CDS	1116				hypothetical protein
KLAOMLMB_00048	CDS	435				hypothetical protein
KLAOMLMB_00049	CDS	282				hypothetical protein
KLAOMLMB_00050	CDS	1101				hypothetical protein
KLAOMLMB_00051	CDS	288				hypothetical protein
KLAOMLMB_00052	CDS	540				hypothetical protein
KLAOMLMB_00053	CDS	984				hypothetical protein
KLAOMLMB_00054	CDS	294				hypothetical protein
KLAOMLMB_00055	CDS	420				hypothetical protein
KLAOMLMB_00056	CDS	552	flhC			Flagellar transcriptional regulator FlhC
KLAOMLMB_00057	CDS	609				hypothetical protein
KLAOMLMB_00058	CDS	534				hypothetical protein
KLAOMLMB_00059	CDS	273				hypothetical protein
KLAOMLMB_00060	CDS	363				hypothetical protein
KLAOMLMB_00061	CDS	3615				hypothetical protein
KLAOMLMB_00062	CDS	1434				hypothetical protein
KLAOMLMB_00063	CDS	1041				hypothetical protein
KLAOMLMB_00064	CDS	1512	addA	3.6.4.12		ATP-dependent helicase/nuclease subunit A
KLAOMLMB_00065	CDS	279				hypothetical protein
KLAOMLMB_00066	CDS	1041	smc			Chromosome partition protein Smc
KLAOMLMB_00067	CDS	876	tus			DNA replication terminus site-binding protein
KLAOMLMB_00068	CDS	492				hypothetical protein
KLAOMLMB_00069	CDS	870	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
KLAOMLMB_00070	CDS	1011	xerD		COG4974	Tyrosine recombinase XerD
